date,actual_volatility,forecasted_volatility,model
2024-06-14,0.45126690694006494,0.4406621,lstm
2024-06-19,0.4759627541527009,0.4402103,lstm
2024-06-20,0.4736758427398643,0.43982726,lstm
2024-06-21,0.46389966363792956,0.44443175,lstm
2024-06-24,0.4621502520913303,0.44704023,lstm
2024-06-25,0.4524912198385163,0.44674268,lstm
2024-06-26,0.4385517404157371,0.4487889,lstm
2024-06-27,0.43685045325906346,0.4494007,lstm
2024-06-28,0.4162836503232764,0.4442008,lstm
2024-07-01,0.4170702409435628,0.43652752,lstm
2024-07-02,0.41130409414183244,0.43005282,lstm
2024-07-03,0.411649715529968,0.42325866,lstm
2024-07-04,0.40454037022274675,0.41751266,lstm
2024-07-05,0.3745480870073675,0.4107169,lstm
2024-07-08,0.3706401659856565,0.4045404,lstm
2024-07-09,0.37693285328759585,0.39592013,lstm
2024-07-10,0.3832868310462662,0.38592577,lstm
2024-07-11,0.37660269491808174,0.37724936,lstm
2024-07-12,0.4050042808251243,0.3709017,lstm
2024-07-15,0.4068342218503667,0.3642547,lstm
2024-07-16,0.4086732491478826,0.3684403,lstm
2024-07-17,0.4077340190285721,0.37440136,lstm
2024-07-18,0.4184404386435089,0.3783053,lstm
2024-07-19,0.40798055444963993,0.38735023,lstm
2024-07-22,0.4002615968694313,0.39131448,lstm
2024-07-23,0.3982236927195588,0.39669266,lstm
2024-07-24,0.3992778250871311,0.39627513,lstm
2024-07-25,0.4111058005104291,0.3954739,lstm
2024-07-26,0.4165712801335407,0.39948314,lstm
2024-07-29,0.4062693955903104,0.39868367,lstm
2024-07-30,0.43022211699480073,0.40349573,lstm
2024-07-31,0.420487103073336,0.42068577,lstm
2024-08-01,0.4170626313683125,0.4258791,lstm
2024-08-02,0.42819589551788073,0.42789277,lstm
2024-08-05,0.4350969517634655,0.43115166,lstm
2024-08-06,0.43339000150880097,0.43240222,lstm
2024-08-07,0.43904535840273706,0.4322568,lstm
2024-08-08,0.4547638999833216,0.4308588,lstm
2024-08-09,0.46310297619243473,0.4389355,lstm
2024-08-12,0.4642719544213142,0.44194886,lstm
2024-08-13,0.4654531743597336,0.44402137,lstm
2024-08-14,0.4725245027744537,0.4477147,lstm
2024-08-15,0.4762076267843488,0.452032,lstm
2024-08-16,0.48793575294133484,0.45261884,lstm
2024-08-19,0.48954957391865134,0.4559702,lstm
2024-08-20,0.4923904996190296,0.45726296,lstm
2024-08-21,0.48997282943810144,0.4601412,lstm
2024-08-22,0.4846820552323158,0.46130767,lstm
2024-08-23,0.4588469500446604,0.45937932,lstm
2024-08-27,0.43388029445943516,0.45678258,lstm
2024-08-28,0.4381306698809146,0.45052287,lstm
2024-08-29,0.4311993453289708,0.443596,lstm
2024-08-30,0.42792208959307887,0.43459854,lstm
2024-09-02,0.4266622595638269,0.4262315,lstm
2024-09-03,0.4310404937093682,0.4205069,lstm
2024-09-04,0.43771701461536716,0.41615552,lstm
2024-09-05,0.4266229363751476,0.414809,lstm
2024-09-06,0.41180920557792505,0.41427666,lstm
2024-09-09,0.4031973151238448,0.412841,lstm
2024-09-10,0.3748808736404203,0.40904078,lstm
2024-09-11,0.3681400999190265,0.4061501,lstm
2024-09-12,0.3904543349432221,0.39741054,lstm
2024-09-13,0.3798523792458818,0.39022303,lstm
2024-09-17,0.37585275331180357,0.38610306,lstm
2024-09-18,0.3745028392841947,0.3809705,lstm
2024-09-19,0.37441609488031413,0.37755477,lstm
2024-09-20,0.3646313759528439,0.3730462,lstm
2024-09-23,0.3712526809394189,0.3687517,lstm
2024-09-24,0.38465345966890646,0.3639394,lstm
2024-09-25,0.390962018341008,0.35565433,lstm
2024-09-26,0.3838072849062745,0.35051572,lstm
2024-09-27,0.3807798718552934,0.3510283,lstm
2024-09-30,0.38057696730719703,0.35092822,lstm
2024-10-02,0.3799866071652077,0.3510299,lstm
2024-10-03,0.38258078982494065,0.35334706,lstm
2024-10-04,0.3871122902877356,0.35668197,lstm
2024-10-07,0.39224091865129823,0.36580542,lstm
2024-10-08,0.4202964747201946,0.36557275,lstm
