Date,Open,High,Low,Close,Change_Pct,Volume
2011-03-10,25225.37,25447.88,25208.11,25430.89,0.82,0
2011-03-11,25427.88,25619.17,25427.88,25585.24,0.61,0
2011-03-14,25585.83,25608.29,25403.78,25420.49,-0.64,0
2011-03-15,25416.07,25420.44,24826.18,25133.31,-1.13,0
2011-03-16,25123.85,25125.42,24885.34,24944.63,-0.75,0
2011-03-18,24336.85,24397.65,23969.59,24378.72,-2.27,0
2011-03-21,24377.54,24566.68,24338.25,24555.0,0.72,0
2011-03-22,24565.92,24987.99,24555.84,24987.14,1.76,0
2011-03-23,25010.95,25290.32,24987.99,25281.03,1.18,0
2011-03-24,25281.21,25336.53,25021.18,25067.07,-0.85,0
2011-03-25,25067.05,25116.47,24860.88,24863.38,-0.81,0
2011-03-28,24862.8,24953.18,24634.07,24639.74,-0.9,0
2011-03-29,24639.91,24771.0,24615.44,24754.04,0.46,0
2011-03-30,24754.21,24811.87,24597.87,24696.96,-0.23,0
2011-03-31,24700.49,24709.95,24613.05,24621.21,-0.31,0
2011-04-01,24621.38,24754.45,24521.93,24752.04,0.53,0
2011-04-04,24765.25,24783.21,24652.14,24667.66,-0.34,0
2011-04-05,24667.84,24760.4,24600.35,24735.14,0.27,0
2011-04-06,24733.18,24747.16,24608.94,24608.94,-0.51,0
2011-04-07,24692.49,24888.46,24689.51,24746.88,0.56,0
2011-04-08,24888.72,24926.89,24733.38,24733.38,-0.05,0
2011-04-11,24898.66,24961.83,24675.75,24675.75,-0.23,0
2011-04-12,24869.89,24941.43,24681.99,24681.99,0.03,0
2011-04-13,24876.18,25020.96,24747.37,24816.67,0.55,0
2011-04-14,25014.46,25121.61,24916.97,24916.97,0.4,0
2011-04-15,25011.92,25174.17,24733.38,24733.38,-0.74,0
2011-04-18,25132.16,25478.75,25114.6,25309.09,2.33,0
2011-04-19,25429.61,25570.29,25384.1,25384.1,0.3,0
2011-04-20,25491.27,25536.48,25324.54,25324.54,-0.23,0
2011-04-21,25448.43,25474.21,25020.08,25020.08,-1.2,0
2011-04-27,25140.64,25406.53,25052.88,25240.88,0.88,0
2011-04-28,25399.94,25417.77,25293.16,25293.16,0.21,0
2011-04-29,25466.12,25479.72,25041.68,25041.68,-0.99,0
2011-05-03,25211.57,25343.13,25085.59,25085.59,0.18,0
2011-05-04,25298.87,25422.63,25072.92,25072.92,-0.05,0
2011-05-05,25409.1,25556.98,25219.7,25219.7,0.59,0
2011-05-06,25556.49,25641.29,25300.46,25300.46,0.32,0
2011-05-09,25607.32,25692.23,25262.5,25262.5,-0.15,0
2011-05-10,25655.65,25845.99,25432.93,25432.93,0.67,0
2011-05-11,25829.87,25918.96,25478.17,25478.17,0.18,0
2011-05-12,25879.13,26146.84,25736.37,25736.37,1.01,0
2011-05-13,26145.44,26224.56,25813.71,25813.71,0.3,0
2011-05-16,25813.71,25866.56,25794.69,25826.5,0.05,0
2011-05-17,25831.16,25831.98,25793.46,25821.85,-0.02,0
2011-05-18,25821.85,25832.63,25714.75,25788.06,-0.13,0
2011-05-19,25788.06,25804.24,25706.14,25717.73,-0.27,0
2011-05-20,25712.17,25816.17,25617.02,25790.64,0.28,0
2011-05-23,25790.64,25807.7,25743.68,25762.67,-0.11,0
2011-05-24,25763.52,25818.99,25730.59,25738.8,-0.09,0
2011-05-25,25738.8,25740.28,25600.76,25618.53,-0.47,0
2011-05-26,25618.09,25719.35,25606.68,25716.84,0.38,0
2011-05-27,25716.84,25843.62,25623.06,25829.75,0.44,0
2011-05-31,25829.75,25884.42,25794.77,25866.62,0.14,0
2011-06-01,25867.17,25898.46,25781.9,25875.3,0.03,0
2011-06-02,25867.25,25996.09,25835.88,25995.54,0.46,0
2011-06-03,25995.54,26013.69,25957.95,25963.5,-0.12,0
2011-06-06,25962.45,25963.5,25825.36,25830.53,-0.51,0
2011-06-07,25829.56,25830.5,25703.6,25741.94,-0.34,0
2011-06-08,25742.26,25788.95,25700.56,25781.65,0.15,0
2011-06-09,25781.65,25811.27,25732.88,25759.72,-0.09,0
2011-06-10,25759.14,25759.72,25686.7,25696.46,-0.25,0
2011-06-13,25696.46,25704.85,25604.85,25604.85,-0.36,0
2011-06-14,25603.87,25611.37,25525.88,25533.68,-0.28,0
2011-06-15,25526.3,25548.24,25420.36,25471.59,-0.24,0
2011-06-16,25471.59,25492.66,25397.42,25428.35,-0.17,0
2011-06-17,25439.67,25460.43,25291.89,25309.17,-0.47,0
