"Date","Price","Open","High","Low","Vol.","Change %"
"17/03/2025","4.63","5.14","4.72","4.63","2.45M","-9.92%"
"14/03/2025","5.14","4.90","5.14","4.91","1.02M","4.90%"
"13/03/2025","4.90","4.91","4.90","4.90","308.24K","-0.20%"
"12/03/2025","4.91","4.91","4.91","4.91","390.63K","0.00%"
"11/03/2025","4.91","4.95","4.91","4.63","735.21K","-0.81%"
"10/03/2025","4.95","5.10","4.95","4.60","1.64M","-2.94%"
"07/03/2025","5.10","4.77","5.10","5.10","878.84K","6.92%"
"06/03/2025","4.77","5.30","5.00","4.77","2.27M","-10.00%"
"05/03/2025","5.30","5.50","5.50","4.95","3.35M","-3.64%"
"04/03/2025","5.50","5.31","5.50","5.50","735.89K","3.58%"
"03/03/2025","5.31","5.31","5.31","5.31","381.89K","0.00%"
"28/02/2025","5.31","5.52","5.52","5.31","916.09K","-3.80%"
"27/02/2025","5.52","5.90","5.52","5.31","3.05M","-6.44%"
"26/02/2025","5.90","5.80","5.90","5.43","902.39K","1.72%"
"25/02/2025","5.80","6.25","5.80","5.80","442.83K","-7.20%"
"24/02/2025","6.25","6.60","6.38","5.94","3.41M","-5.30%"
"21/02/2025","6.60","6.74","6.60","6.37","1.17M","-2.08%"
"20/02/2025","6.74","6.92","6.74","6.23","2.22M","-2.60%"
"19/02/2025","6.92","6.52","6.92","6.92","1.01M","6.13%"
"18/02/2025","6.52","5.95","6.52","5.40","4.04M","9.58%"
"17/02/2025","5.95","6.41","6.10","5.78","2.78M","-7.18%"
"14/02/2025","6.41","6.27","6.41","6.20","1.83M","2.23%"
"13/02/2025","6.27","5.70","6.27","5.70","1.99M","10.00%"
"12/02/2025","5.70","5.59","5.70","5.69","1.46M","1.97%"
"11/02/2025","5.59","5.45","5.59","5.35","1.40M","2.57%"
"10/02/2025","5.45","5.01","5.51","5.01","7.82M","8.78%"
"07/02/2025","5.01","5.01","5.01","5.01","156.94K","0.00%"
"06/02/2025","5.01","5.16","5.25","5.01","1.46M","-2.91%"
"05/02/2025","5.16","5.35","5.16","5.03","2.84M","-3.55%"
"04/02/2025","5.35","5.70","5.35","5.20","1.30M","-6.14%"
"03/02/2025","5.70","5.75","5.70","5.70","678.02K","-0.87%"
"31/01/2025","5.75","5.82","5.75","5.50","1.50M","-1.20%"
"30/01/2025","5.82","5.82","5.82","5.50","2.24M","0.00%"
"29/01/2025","5.82","5.40","5.82","5.48","1.17M","7.78%"
"28/01/2025","5.40","5.00","5.48","4.90","2.75M","8.00%"
"27/01/2025","5.00","5.01","5.00","4.55","4.51M","-0.20%"
"24/01/2025","5.01","5.50","5.05","5.00","3.56M","-8.91%"
"23/01/2025","5.50","5.98","6.00","5.40","4.28M","-8.03%"
"22/01/2025","5.98","6.15","6.14","5.98","2.18M","-2.76%"
"21/01/2025","6.15","6.70","6.15","6.15","855.15K","-8.21%"
"20/01/2025","6.70","6.69","6.70","6.70","633.25K","0.15%"
"17/01/2025","6.69","6.62","6.69","5.96","4.23M","1.06%"
"16/01/2025","6.62","6.71","6.75","6.40","4.79M","-1.34%"
"15/01/2025","6.71","6.10","6.71","5.89","2.53M","10.00%"
"14/01/2025","6.10","6.60","6.65","6.10","3.34M","-7.58%"
"13/01/2025","6.60","6.58","7.83","6.57","10.16M","-9.59%"
"10/01/2025","7.30","8.11","7.30","7.30","1.28M","-9.99%"
"09/01/2025","8.11","9.01","8.15","8.11","1.65M","-9.99%"
"08/01/2025","9.01","10.01","9.01","9.01","1.35M","-9.99%"
"07/01/2025","10.01","11.12","10.01","10.01","1.39M","-9.98%"
"06/01/2025","11.12","11.50","11.20","10.61","2.31M","-3.30%"
"03/01/2025","11.50","11.65","11.50","11.00","3.01M","-1.29%"
